"project","dependencies","start","end"
mall-demo,net.logstash.logback-logstash-logback-encoder-4.8,2018-09-11 15:54:16+08:00,2019-10-19 14:49:55+08:00
mall-admin,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-search,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-portal,com.alibaba-druid-spring-boot-starter-1.1.10,2018-09-13 17:23:13+08:00,2019-04-16 20:21:49+08:00
mall-portal,org.springframework.boot-spring-boot-starter-amqp-None,2018-09-14 17:09:27+08:00,2020-08-03 20:53:39+08:00
mall-portal,org.projectlombok-lombok-None,2018-09-14 17:09:27+08:00,2019-10-19 14:49:55+08:00
mall-admin,org.projectlombok-lombok-None,2018-09-30 18:00:01+08:00,2019-10-19 14:49:55+08:00
mall-admin,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-search,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-demo,org.springframework.boot-spring-boot-starter-aop-None,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-demo,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-portal,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-07 17:36:26+08:00,2019-04-16 20:21:49+08:00
mall-portal,org.springframework.boot-spring-boot-starter-data-redis-None,2019-04-07 17:36:26+08:00,2020-08-03 20:53:39+08:00
mall-mbg,org.mybatis-mybatis-3.4.6,2019-04-07 17:36:26+08:00,2019-10-19 14:49:55+08:00
mall-mbg,mysql-mysql-connector-java-8.0.15,2019-04-07 17:36:26+08:00,2019-10-19 14:49:55+08:00
mall,org.springframework.boot-spring-boot-starter-web-None,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall,org.springframework.boot-spring-boot-starter-actuator-None,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall,org.springframework.boot-spring-boot-starter-aop-None,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall,org.springframework.boot-spring-boot-starter-test-None,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall,com.github.pagehelper-pagehelper-spring-boot-starter-1.2.10,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall,com.alibaba-druid-spring-boot-starter-1.1.10,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-common,com.github.pagehelper-pagehelper-5.1.8,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-common,io.springfox-springfox-swagger2-2.7.0,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-common,io.springfox-springfox-swagger-ui-2.7.0,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-common,org.springframework.data-spring-data-commons-2.1.5.RELEASE,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-mbg,com.macro.mall-mall-common-1.0-SNAPSHOT,2019-04-20 10:18:46+08:00,2019-10-19 14:49:55+08:00
mall-common,cn.hutool-hutool-all-4.5.7,2019-04-29 20:31:52+08:00,2019-10-19 14:49:55+08:00
mall-mbg,org.mybatis.generator-mybatis-generator-core-1.3.7,2019-06-19 20:15:02+08:00,2019-10-19 14:49:55+08:00
mall,com.macro.mall-mall-common-${mall-common.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,com.macro.mall-mall-mbg-${mall-mbg.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,com.github.pagehelper-pagehelper-spring-boot-starter-${pagehelper-starter.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,com.github.pagehelper-pagehelper-${pagehelper.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,com.alibaba-druid-spring-boot-starter-${druid.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,cn.hutool-hutool-all-${hutool.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,io.springfox-springfox-swagger2-${swagger2.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,io.springfox-springfox-swagger-ui-${swagger2.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,org.mybatis.generator-mybatis-generator-core-${mybatis-generator.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,org.mybatis-mybatis-${mybatis.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,mysql-mysql-connector-java-${mysql-connector.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,org.springframework.data-spring-data-commons-${spring-data-commons.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,io.jsonwebtoken-jjwt-${jjwt.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,com.aliyun.oss-aliyun-sdk-oss-${aliyun-oss.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall,net.logstash.logback-logstash-logback-encoder-${logstash-logback.version},2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-admin,com.macro.mall-mall-mbg-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-admin,io.jsonwebtoken-jjwt-None,2019-10-20 16:06:11+08:00,2019-11-09 16:47:55+08:00
mall-admin,com.aliyun.oss-aliyun-sdk-oss-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-admin,net.logstash.logback-logstash-logback-encoder-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-search,com.macro.mall-mall-mbg-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-demo,com.macro.mall-mall-mbg-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-demo,net.logstash.logback-logstash-logback-encoder-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-portal,com.macro.mall-mall-mbg-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-common,io.springfox-springfox-swagger2-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-common,io.springfox-springfox-swagger-ui-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-common,org.springframework.data-spring-data-commons-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-common,cn.hutool-hutool-all-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-common,org.projectlombok-lombok-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-mbg,com.macro.mall-mall-common-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-mbg,org.mybatis.generator-mybatis-generator-core-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-mbg,mysql-mysql-connector-java-None,2019-10-20 16:06:11+08:00,2020-08-03 20:53:39+08:00
mall-security,com.macro.mall-mall-common-None,2019-11-09 16:32:27+08:00,2020-08-03 20:53:39+08:00
mall-security,org.springframework.boot-spring-boot-starter-web-None,2019-11-09 16:32:27+08:00,2020-08-03 20:53:39+08:00
mall-security,org.springframework.boot-spring-boot-starter-security-None,2019-11-09 16:32:27+08:00,2020-08-03 20:53:39+08:00
mall-security,io.jsonwebtoken-jjwt-None,2019-11-09 16:32:27+08:00,2020-08-03 20:53:39+08:00
mall,com.macro.mall-mall-security-${mall-security.version},2019-11-09 16:47:55+08:00,2020-08-03 20:53:39+08:00
mall-admin,com.macro.mall-mall-security-None,2019-11-09 16:47:55+08:00,2020-08-03 20:53:39+08:00
mall-portal,com.macro.mall-mall-security-None,2019-11-10 10:43:31+08:00,2020-08-03 20:53:39+08:00
mall,io.minio-minio-${minio.version},2020-01-01 15:30:28+08:00,2020-08-03 20:53:39+08:00
mall-admin,io.minio-minio-None,2020-01-01 15:30:28+08:00,2020-08-03 20:53:39+08:00
mall-security,org.springframework.boot-spring-boot-starter-data-redis-None,2020-03-22 15:08:33+08:00,2020-08-03 20:53:39+08:00
mall,io.swagger-swagger-models-${swagger-models.version},2020-07-11 10:50:32+08:00,2020-08-03 20:53:39+08:00
mall,io.swagger-swagger-annotations-${swagger-annotations.version},2020-07-11 10:50:32+08:00,2020-08-03 20:53:39+08:00
